 Time(s)   T_center   T_surface   dT
    277.73      657.93      876.88      218.94
    278.17      658.72      877.35      218.63
    278.60      659.50      877.81      218.31
    279.04      660.28      878.28      218.00
    279.48      661.06      878.74      217.69
    279.91      661.84      879.21      217.37
    280.35      662.61      879.67      217.06
    280.79      663.39      880.14      216.75
    281.22      664.17      880.60      216.43
    281.66      664.94      881.06      216.12
    282.10      665.71      881.52      215.81
    282.53      666.48      881.98      215.50
    282.97      667.26      882.44      215.19
    283.41      668.03      882.90      214.88
    283.84      668.79      883.36      214.57
    284.28      669.56      883.82      214.26
    284.72      670.33      884.28      213.95
    285.15      671.09      884.73      213.64
    285.59      671.86      885.19      213.33
    286.03      672.62      885.65      213.03
    286.46      673.38      886.10      212.72
    286.90      674.14      886.55      212.41
    287.34      674.90      887.01      212.11
    287.77      675.66      887.46      211.80
    288.21      676.42      887.91      211.49
    288.65      677.18      888.36      211.19
    289.08      677.93      888.82      210.88
    289.52      678.69      889.27      210.58
    289.96      679.44      889.72      210.28
    290.39      680.19      890.16      209.97
    290.83      680.94      890.61      209.67
    291.27      681.69      891.06      209.37
    291.70      682.44      891.51      209.07
    292.14      683.19      891.95      208.76
    292.58      683.94      892.40      208.46
    293.01      684.68      892.84      208.16
    293.45      685.43      893.29      207.86
    293.89      686.17      893.73      207.56
    294.32      686.91      894.18      207.26
    294.76      687.65      894.62      206.96
    295.20      688.39      895.06      206.67
    295.63      689.13      895.50      206.37
    296.07      689.87      895.94      206.07
    296.51      690.61      896.38      205.77
    296.94      691.34      896.82      205.48
    297.38      692.08      897.26      205.18
    297.82      692.81      897.70      204.88
    298.25      693.55      898.13      204.59
    298.69      694.28      898.57      204.29
    299.13      695.01      899.01      204.00
    299.56      695.74      899.44      203.70
    300.00      696.47      899.88      203.41
    300.44      697.20      900.31      203.12
    300.87      697.92      900.74      202.82
    301.31      698.65      901.18      202.53
    301.75      699.37      901.61      202.24
    302.18      700.10      902.04      201.94
    302.62      700.82      902.47      201.65
    303.06      701.54      902.90      201.36
    303.49      702.26      903.33      201.07
    303.93      702.98      903.76      200.78
    304.37      703.70      904.19      200.49
    304.80      704.42      904.62      200.20
    305.24      705.13      905.04      199.91
    305.68      705.85      905.47      199.62
    306.11      706.56      905.90      199.34
    306.55      707.27      906.32      199.05
    306.99      707.99      906.75      198.76
    307.42      708.70      907.17      198.47
    307.86      709.41      907.60      198.19
    308.30      710.12      908.02      197.90
    308.73      710.82      908.44      197.62
    309.17      711.53      908.86      197.33
    309.61      712.24      909.28      197.05
    310.04      712.94      909.70      196.76
    310.48      713.65      910.12      196.48
    310.92      714.35      910.54      196.19
    311.35      715.05      910.96      195.91
    311.79      715.75      911.38      195.63
    312.23      716.45      911.80      195.34
    312.66      717.15      912.21      195.06
    313.10      717.85      912.63      194.78
    313.54      718.55      913.05      194.50
    313.97      719.24      913.46      194.22
    314.41      719.94      913.88      193.94
    314.85      720.63      914.29      193.66
    315.28      721.32      914.70      193.38
    315.72      722.02      915.12      193.10
    316.16      722.71      915.53      192.82
    316.59      723.40      915.94      192.54
    317.03      724.09      916.35      192.26
    317.47      724.77      916.76      191.99
    317.90      725.46      917.17      191.71
    318.34      726.15      917.58      191.43
    318.78      726.83      917.99      191.16
    319.21      727.52      918.39      190.88
    319.65      728.20      918.80      190.60
    320.09      728.88      919.21      190.33
    320.52      729.56      919.61      190.05
    320.96      730.24      920.02      189.78
    321.40      730.92      920.43      189.50
    321.83      731.60      920.83      189.23
    322.27      732.28      921.23      188.96
    322.71      732.95      921.64      188.68
    323.14      733.63      922.04      188.41
    323.58      734.30      922.44      188.14
    324.02      734.97      922.84      187.87
    324.45      735.65      923.24      187.60
    324.89      736.32      923.64      187.33
    325.33      736.99      924.04      187.06
    325.76      737.66      924.44      186.79
    326.20      738.33      924.84      186.52
    326.64      738.99      925.24      186.25
    327.07      739.66      925.64      185.98
    327.51      740.32      926.03      185.71
    327.95      740.99      926.43      185.44
    328.38      741.65      926.82      185.17
    328.82      742.32      927.22      184.90
